■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																												
																																																									
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）						
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ				
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名			
7	イノベーション科学系・技術経営専門職学位課程	029	教授	001	後藤	美香	か	ごとう	みか	2	Mika	Goto	技術経営専門職学位課程	030			イノベーション科学系	029	イノベーション科学コース	029	融合理工学系	027	エネルギーコース	001																	企業経済学	Business economics	エネルギー経済学	Energy economics	生産効率性分析	Production efficiency analysis			http://www.goto-lab.mot.titech.ac.jp/	http://www.goto-lab.mot.titech.ac.jp/	key_t2r2Rid=CTT100669189		ｺﾞﾄｳ	ﾐｶ			
44	応用化学系	021	特定教授	009	近藤	道雄	か	こんどう	みちお	3	Michio	Kondo	応用化学系	021	エネルギーコース	001																																			key_rid=5000006588		ｺﾝﾄﾞｳ	ﾐﾁｵ			
45	機械系	015	准教授	002	齊藤	卓志	さ	さいとう	たくし	4	Takushi	Saito	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					伝熱制御	Heat transfer control	材料加工	Materials processing	レーザー応用技術	Laser application			http://netsu-n.mep.titech.ac.jp/	http://netsu-n.mep.titech.ac.jp/index_en.html	key_rid=1000275201		ｻｲﾄｳ	ﾀｸｼ			
	融合理工学系	027	特定准教授	010	斎藤	芳隆	さ	さいとう	よしたか	4	Yoshitaka	Saito	融合理工学系	027	エネルギーコース	001																									気球工学	Scientific ballooning	高エネルギー宇宙物理学	High energy astrophysics							key_rid=1000227990		ｻｲﾄｳ	ﾖｼﾀｶ			
46	応用化学系	021	准教授	002	斎藤	礼子	さ	さいとう	れいこ	4	Reiko	Saito	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					高分子合成	Polymer synthesis	高分子反応	Polymer reaction	複合材料	Composites	ナノ材料	Nano materials	http://www.op.titech.ac.jp/polymer/lab/saito/index.htm	http://www.op.titech.ac.jp/polymer/lab/saito/index-e.html	key_rid=1000015320		ｻｲﾄｳ	ﾚｲｺ			
47	材料系	020	特任教授	005	坂井	悦郎	さ	さかい	えつお	4	Etsuo	Sakai	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					社会インフラ材料	Construction materials	資源循環	Materal recycles	CO2削減	Reduction of CO2	応用界面化学	Applied surface chemisitry	http://www.eim.ceram.titech.ac.jp/index.html	http://www.eim.ceram.titech.ac.jp/index.html	key_rid=1000181718		ｻｶｲ	ｴﾂｵ			
48	材料系	020	特任教授	005	坂田	修身	さ	さかた	おさみ	4	Osami	Sakata	材料系	020	エネルギーコース	001																																					ｻｶﾀ	ｵｻﾐ			
49	材料系	020	准教授	002	笹川	崇男	さ	ささがわ	たかお	4	Takao	Sasagawa	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					無機電子材料	Inorganic electronic material	超伝導	Superconductivity	スピントロニクス	Spintronics	ナノテク新素材	Novel nanomaterial	http://www.msl.titech.ac.jp/~sasagawa/	http://www.msl.titech.ac.jp/~sasagawa/index_e.html	key_rid=5000090807		ｻｻｶﾞﾜ	ﾀｶｵ			
50	機械系	015	准教授	002	笹部	崇	さ	ささべ	たかし	4	Takashi	Sasabe	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					燃料電池	Fuel cell	リチウムイオン二次電池	Lithium-ion secondary battery	X線可視化計測	X-ray visualization	熱工学	Thermodynamics	http://www.tanso.mech.e.titech.ac.jp/hirai_index-j.html	 http://www.tanso.mech.e.titech.ac.jp/hirai_index-e.html	key_t2r2Rid=CTT100557085		ｻｻﾍﾞ	ﾀｶｼ			
51	機械系	015	教授	001	佐藤	勲	さ	さとう	いさお	4	Isao	Satoh	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					エネルギー有効利用	Energy utilization	製造工程の熱工学	Thermal engineering in manufacturing process	熱流体計測技術	Measurement technique for heat and fluid flow			http://netsu-n.mep.titech.ac.jp/index_jp.html	http://netsu-n.mep.titech.ac.jp/index_en.html	key_rid=1000015382		ｻﾄｳ	ｲｻｵ			
