■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																												
																																																									
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）						
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ				
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名			
115	電気電子系	017	准教授	002	宮島	晋介	ま	みやじま	しんすけ	3	Shinsuke	Miyajima	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					シリコン太陽電池	Silicon solar cells	半導体デバイス	Semiconductor devices	有機・無機ハイブリッド材料	Organic-Inorganic hybrid materials	銅酸化物系材料	Cu-based oxide materials	http://solid.pe.titech.ac.jp	http://solid.pe.titech.ac.jp	key_rid=6000014902		ﾐﾔｼﾞﾏ	ｼﾝｽｹ			
	化学系	013	特任助教	008	村上	泰斗	ま	むらかみ	たいと	3	Taito	Murakami	化学系	013	エネルギーコース	001																									無機結晶化学	Inorganic crystal chemistry	構造解析	Structural analysis	機能性材料	Functional materials					key_t2r2Rid=CTT100798387		ﾑﾗｶﾐ	ﾀｲﾄ			
116	機械系	015	准教授	002	村上	陽一	ま	むらかみ	よういち	3	Yoichi	Murakami	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					分子エネルギー工学	Molecular energy engineering	熱流体工学	Thermal and fluid engineering	変換機能マテリアル創出	Creation of functional materials for conversions	マルチスケール輸送現象の解明と設計	Elucidation and design of transport phenomena in multi-scale	http://www.mee.mech.e.titech.ac.jp/	http://www.mee.mech.e.titech.ac.jp/index-e.html	key_rid=6000021733		ﾑﾗｶﾐ	ﾖｳｲﾁ			
97	応用化学系	021	准教授	002	森	伸介	ま	もり	しんすけ	3	Shinsuke	Mori	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																															key_rid=5000039875		ﾓﾘ	ｼﾝｽｹ			
117	材料系	020	教授	001	森	健彦	ま	もり	たけひこ	3	Takehiko	Mori	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					有機エレクトロニクス	Organic electronics	有機トランジスタ	Organic ｔransistors	有機伝導体	Organic conductors	物性物理化学	Solid-state physical chemistry	http://www.op.titech.ac.jp/lab/mori/mori.html	http://www.op.titech.ac.jp/lab/mori/mori.e.html	key_rid=1000144715		ﾓﾘ	ﾀｹﾋｺ			
118	化学系	013	教授	001	八島	正知	や	やしま	まさとも	5	Masatomo	Yashima	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					材料科学・物質科学	Materials science	エネルギー・環境材料	Materials for energy and environments	結晶構造解析・中性子・X線回折	Crystal structure analysis by neutron/X-ray diffraction	無機化学・物理化学	"Inroganic chemistry, Physical chemistry"	http://www.cms.titech.ac.jp/~yashima/	http://www.cms.titech.ac.jp/~yashima/index.php?lang=e	key_rid=B000303221		ﾔｼﾏ	ﾏｻﾄﾓ			
119	電気電子系	017	教授	001	安岡	康一	や	やすおか	こういち	5	Koichi	Yasuoka	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					プラズマ工学	Plasma engineering	高電圧工学	High voltage engineering	静電気工学	Electrostatics			http://www.plasma.ee.titech.ac.jp/	http://www.plasma.ee.titech.ac.jp/english/	key_rid=1000181741		ﾔｽｵｶ	ｺｳｲﾁ			
120	材料系	020	准教授	002	安田	公一	や	やすだ	こういち	5	Kouichi	Yasuda	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					構造用セラミックス	Engineering ceramics	材料力学	Solid mechanics	統計力学	Statistical mechanics	信頼性	Reliability	http://www.cmc.ceram.titech.ac.jp/index.html	http://www.cmc.ceram.titech.ac.jp/index_e.html	key_rid=1000015259		ﾔｽﾀﾞ	ｺｳｲﾁ			
121	材料系	020	助教	004	山口	晃	や	やまぐち	あきら	5	Akira	Yamaguchi	材料系	020	エネルギーコース	001																																			key_t2r2Rid=CTT100703953		ﾔﾏｸﾞﾁ	ｱｷﾗ			
122	応用化学系	021	教授	001	山口	猛央	や	やまぐち	たけお	5	Takeo	Yamaguchi	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					化学工学	Chemical engineering	機能材料システム設計	Systematic material design	燃料電池	Fuel cell	バイオインスパイアード材料	Bio-inspired materials	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/index.html	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/e/index.html	key_rid=6000012465		ﾔﾏｸﾞﾁ	ﾀｹｵ			
123	電気電子系	017	教授	001	山田	明	や	やまだ	あきら	5	Akira	Yamada	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					太陽電池	Solar cells	半導体デバイス	Semiconductor devices	Cu(InGa)Se2	Cu(InGa)Se2	Cu2ZnSn(SSe)4	Cu2ZnSn(SSe)4	http://solid.pe.titech.ac.jp	http://solid.pe.titech.ac.jp	key_rid=1000015490		ﾔﾏﾀﾞ	ｱｷﾗ			
124	応用化学系	021	准教授	002	山田	桂太	や	やまだ	けいた	5	Keita	Yamada	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					アイソトポミクス	Isotopomics	有機地球化学	Organic geochemistry	環境化学	Environmental chemistry	同位体地球化学	Isotope geochemistry	http://nylab.chemenv.titech.ac.jp/	http://nylab.chemenv.titech.ac.jp/index-e.html	key_rid=1000321748		ﾔﾏﾀﾞ	ｹｲﾀ			
125	応用化学系	021	教授	001	山中	一郎	や	やまなか	いちろう	5	Ichiro 	Yamanaka	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					次世代燃料電池	Post-fuel cell	エネルギー変換化学	Energy conversion chemistry	物質変換化学	Material conversion chemistry	グリーンケミストリー	Green chemistry	http://www.cms.titech.ac.jp/~yamanaka/		key_rid=1000015289		ﾔﾏﾅｶ	ｲﾁﾛｳ			
126	機械系	015	教授	001	吉田	和弘	や	よしだ	かずひろ	5	Kazuhiro	Yoshida	機械系	015	エンジニアリングデザインコース	002	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																	マイクロロボティクス	Microrobotics	アクチュエータ	Actuators	機能性流体	Functional fluids	メカトロニクス	Mechatronics	http://yoshida-www.pi.titech.ac.jp/yoshida_lab/top.html	http://yoshida-www.pi.titech.ac.jp/yoshida_lab/top_e.html	key_rid=1000015746		ﾖｼﾀﾞ	ｶｽﾞﾋﾛ			
127	応用化学系	021	教授	001	吉田	尚弘	や	よしだ	なおひろ	5	Naohiro	Yoshida	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001	融合理工学系	027	地球環境共創コース	027																	環境化学	Environmental chemistry	地球化学	Geochemistry	分析化学	Analytical chemistry	同位体化学	Isotope chemistry	http://nylab.chemenv.titech.ac.jp/	http://nylab.chemenv.titech.ac.jp/index-e.html	key_rid=1000162461		ﾖｼﾀﾞ	ﾅｵﾋﾛ			
128	材料系	020	教授	001	吉本	護	や	よしもと	まもる	5	Mamoru	Yoshimoto	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					太陽電池	Solar cells	無機系熱電材料	Inorganic thermoelectric materials	表面ナノ機能化	Surface nano-functionalization	超伝導・磁気材料	Superconducting/Magnetic materials	http://www.yoshimoto.iem.titech.ac.jp/	http://www.yoshimoto.iem.titech.ac.jp/english.html	key_rid=1000015695		ﾖｼﾓﾄ	ﾏﾓﾙ			
129	材料系	020	教授	001	若井	史博	わ	わかい	ふみひろ	5	Fumihiro	Wakai	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																													http://www.msl.titech.ac.jp/~dfc/	http://www.msl.titech.ac.jp/~dfc/index_e	key_rid=1000222066		ﾜｶｲ	ﾌﾐﾋﾛ			
130	応用化学系	021	准教授	002	脇	慶子	わ	わき	けいこ	5	Keiko	Waki	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					材料工学	Materials  engineering	化学工学	Chemical engineering	電気工学	Electrochemistry	電池	Battery	http://www2.es.titech.ac.jp/waki/index-j.html	http://www2.es.titech.ac.jp/waki/index.html	key_rid=1000255457		ﾜｷ	ｹｲｺ			
131	応用化学系	021	准教授	002	和田	裕之	わ	わだ	ひろゆき	5	Hiroyuki	Wada	応用化学系	021	エネルギーコース	001	応用化学系	021	ライフエンジニアリングコース	003	応用化学系	021	応用化学コース	021																	光機能化学	Photofunctional chemistry	ナノ材料	Nano material	レーザー	Laser			http://www.wada.iem.titech.ac.jp/new/	http://www.wada.iem.titech.ac.jp/new/english/	key_rid=5000093253		ﾜﾀﾞ	ﾋﾛﾕｷ			
132	応用化学系	021	教授	001	和田	雄二	わ	わだ	ゆうじ	5	Yuji	Wada	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					ナノ化学	Nano-materials chemistry	光化学	Photochemistry	マイクロ波駆動化学	Microwave-driven chemistry			http://www.apc.titech.ac.jp/~ywada/wada/index.html	http://www.apc.titech.ac.jp/~ywada/wada/English.html	key_rid=1000030834		ﾜﾀﾞ	ﾕｳｼﾞ			
133	機械系	015	助教	004	渡部	弘達	わ	わたなべ	ひろたつ	5	Hirotatsu	Watanabe	機械系	015	エネルギーコース	001																									ダイレクトカーボン燃料電池	Direct carbon fuel cell	CO2回収型燃焼	Combustion for near zero CO2 emission	石炭	Coal	バイオマス	Biomass			key_rid=6000021707		ﾜﾀﾅﾍﾞ	ﾋﾛﾀﾂ			
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
