■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																											
																																																								
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）					
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ			
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名	キャンパス	居所
22	機械系	15	教授	1	岡村	哲至	あ	おかむら	てつじ	3	Tetsuji	Okamura	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					極低温工学	Cryogenic engineering	磁気冷凍	Magnetic refrigeration	冷凍/冷却技術	Refrigeration/Cooling technology	超電導応用技術	Superconducting application technology	http://www.okamura.mech.e.titech.ac.jp/	http://www.okamura.mech.e.titech.ac.jp/index-eng.html	key_rid=1000015849		ｵｶﾑﾗ	ﾃﾂｼﾞ	ずずかけ	G3-412
23	化学系	13	准教授	2	沖本	洋一	あ	おきもと	よういち	3	Yoichi	Okimoto	化学系	13	エネルギーコース	1	化学系	13	化学コース	13																					固体化学	Sokid state chemistry	固体の光物性	Optical properties in solids	超高速分光	Ultrafast spectroscopy	酸化物エレクトロニクス	Oxide electronics	http://www.chemistry.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=5000087480		ｵｷﾓﾄ	ﾖｳｲﾁ	大岡山	本館1-33
24	機械系	15	教授	1	奥野	喜裕	あ	おくの	よしひろ	3	Yoshihiro	Okuno	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					エネルギー変換	Energy conversion	電磁流体力学	Magnetohydrodynamic	MHD発電	MHD power generation	プラズマ工学	Plasma engineering	http://www.okuno.mech.e.titech.ac.jp/	http://www.okuno.mech.e.titech.ac.jp/index-e.html	key_rid=1000181790		ｵｸﾉ	ﾖｼﾋﾛ	すずかけ	G3-408
25	材料系	20	教授	1	小坂田	耕太郎	あ	おさかだ	こうたろう	3	Kohtaro	Osakada	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1	材料系	20	材料コース	20																	有機金属化学	Organotransition metal chemistry	高分子精密合成	Polymer synthesis	超分子化学	Supramolecules			http://www.res.titech.ac.jp/~shinkin/		key_rid=1000015714		ｵｻｶﾀﾞ	ｺｳﾀﾛｳ	すずかけ	R1-714
26	材料系	20	准教授	2	鎌田	慶吾	か	かまだ	けいご	3	Keigo	Kamata	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					触媒	Catalyst	化学反応	Chemical reaction	無機	Inorganic	不均一系触媒作用	Heterogeneous catalysis	http://www.msl.titech.ac.jp/~hara/index.html	http://www.msl.titech.ac.jp/~hara/index-e.html	key_rid=5000089770		ｶﾏﾀﾞ	ｹｲｺﾞ	すずかけ	R3-404
27	応用化学系	21	准教授	2	川内	進	か	かわうち	すすむ	3	Susumu	Kawauchi	応用化学系	21	応用化学コース	21	材料系	20	材料コース	20	応用化学系	21	エネルギーコース	1																	計算化学	Computational chemistry	量子化学計算	Quantum chemical calculation	分子動力学シミュレーション	Molecular dynamics simulation					key_rid=1000279181		ｶﾜｳﾁ	ｽｽﾑ	大岡山	東2-303
28	材料系	20	助教	4	川本	正	か	かわもと	ただし	3	Tadashi	Kawamoto	材料系	20	エネルギーコース	1																									有機超伝導体	Organic superconductors									key_rid=1000321725		ｶﾜﾓﾄ	ﾀﾀﾞｼ	大岡山	南8-807
29	応用化学系	21	教授	1	菅野	了次	か	かんの	りょうじ	3	Ryoji	Kanno	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					固体化学	Solid-state chemistry	イオン導電体	Ionic conductors	リチウム電池	Lithium battery	燃料電池	Fuel cell	http://www.kanno.echem.titech.ac.jp/	http://www.kanno.echem.titech.ac.jp/english/	key_rid=1000310642		ｶﾝﾉ	ﾘｮｳｼﾞ	すずかけ	G1-1014
30	機械系	15	准教授	2	木倉	宏成	か	きくら	ひろしげ	3	Hiroshige	Kikura	機械系	15	原子核工学コース	4	機械系	15	エネルギーコース	1	融合理工学系	27	原子核工学コース	4																									http://www.lane.iir.titech.ac.jp/jp/member/data/kikura.html	http://www.lane.iir.titech.ac.jp/en/member/data/kikura.html	key_rid=1000279123		ｷｸﾗ	ﾋﾛｼｹﾞ	大岡山	北2-225
31	応用化学系	21	准教授	2	北村	房男	か	きたむら	ふさお	3	Fusao	Kitamura	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					基礎電気化学	Fundamental electrochemistry	界面反応の分光研究	Spectroscopic analysis of electrochemical processes	機能性電極の創製	Design of functional electrodes	燃料電池触媒の開発	Electrode catalyst for fuel cells	http://www.echem.titech.ac.jp/~kitamura/index.html	http://www.echem.titech.ac.jp/~kitamura/english_top.html	key_rid=1000275424		ｷﾀﾑﾗ	ﾌｻｵ	すずかけ	G1-812
